Drug1,Drug2,Severity,Interaction,Mechanism,Pharmacokinetics,Pharmacodynamics,Effect_Change,Why_Explanation,Cytochrome,Dose_Consideration,Therapeutic_Index,Onset,Route_Impact,Patient_Factors,Clinical_Advice,Evidence_Type,Clinical_Outcome
Paracetamol,Atorvastatin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Simvastatin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Tramadol,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Codeine,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Morphine,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,Minimal clinical impact in most patients
Paracetamol,Diazepam,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Alprazolam,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Phenytoin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Carbamazepine,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Lisinopril,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Losartan,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,Minimal clinical impact in most patients
Paracetamol,Furosemide,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,Minimal clinical impact in most patients
Paracetamol,Spironolactone,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Levothyroxine,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,Minimal clinical impact in most patients
Paracetamol,Amoxicillin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Amoxicillin-Clavulanate,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Doxycycline,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Prednisolone,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Hydrochlorothiazide,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,Minimal clinical impact in most patients
Paracetamol,Amlodipine,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Propranolol,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,Minimal clinical impact in most patients
Paracetamol,Metoprolol,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,Minimal clinical impact in most patients
Paracetamol,Pantoprazole,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,Minimal clinical impact in most patients
Paracetamol,Esomeprazole,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,Minimal clinical impact in most patients
Paracetamol,Rosuvastatin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Gabapentin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Pregabalin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Clarithromycin,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,Minimal clinical impact in most patients
Paracetamol,Erythromycin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Ketoconazole,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Paracetamol,Fluconazole,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Insulin Glargine,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Glimepiride,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Paracetamol,Gliclazide,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Fluoxetine,Warfarin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Fluoxetine,Aspirin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Fluoxetine,Ibuprofen,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Fluoxetine,Paracetamol,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,Minimal clinical impact in most patients
Fluoxetine,Sertraline,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,Minimal clinical impact in most patients
Fluoxetine,Digoxin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Fluoxetine,Amiodarone,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Fluoxetine,Metformin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Fluoxetine,Insulin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Requires monitoring, possible reduced efficacy or mild toxicity"
Fluoxetine,Ciprofloxacin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
Fluoxetine,Azithromycin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Requires monitoring, possible reduced efficacy or mild toxicity"
Fluoxetine,Rifampicin,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,Minimal clinical impact in most patients
Fluoxetine,Omeprazole,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,Minimal clinical impact in most patients
Fluoxetine,Clopidogrel,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Requires monitoring, possible reduced efficacy or mild toxicity"
Fluoxetine,Heparin,Minor,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,Minimal clinical impact in most patients
Fluoxetine,Atorvastatin,Moderate,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Normal,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Requires monitoring, possible reduced efficacy or mild toxicity"
